,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
19,1899,-0.41,-0.58,-0.35,-0.22,-0.39,-0.52,-0.28,-0.26,0.01,-0.26,0,-0.19
20,1900,-0.52,-0.04,-0.17,-0.15,-0.16,-0.09,-0.33,-0.15,-0.06,0.17,-0.13,-0.07
21,1901,-0.22,-0.1,-0.12,-0.06,-0.18,0.04,-0.23,-0.17,0.06,-0.15,-0.13,-0.21
22,1902,-0.3,-0.03,-0.18,-0.2,-0.31,-0.33,-0.42,-0.49,-0.39,-0.42,-0.48,-0.54
23,1903,-0.33,-0.13,-0.16,-0.56,-0.45,-0.63,-0.29,-0.4,-0.37,-0.45,-0.44,-0.59
24,1904,-0.78,-0.74,-0.55,-0.42,-0.62,-0.47,-0.59,-0.47,-0.41,-0.5,-0.24,-0.4
25,1905,-0.41,-0.96,-0.21,-0.31,-0.33,-0.29,-0.42,-0.25,-0.2,-0.36,-0.07,-0.25
26,1906,-0.15,-0.3,-0.32,0.06,-0.18,-0.21,-0.19,-0.15,-0.29,-0.17,-0.52,-0.25
27,1907,-0.48,-0.65,-0.46,-0.59,-0.58,-0.65,-0.41,-0.52,-0.37,-0.31,-0.57,-0.64
28,1908,-0.36,-0.3,-0.49,-0.44,-0.31,-0.41,-0.37,-0.36,-0.14,-0.37,-0.56,-0.38
29,1909,-0.76,-0.56,-0.47,-0.59,-0.57,-0.4,-0.32,-0.07,-0.15,-0.14,-0.11,-0.53
30,1910,-0.43,-0.36,-0.43,-0.26,-0.22,-0.31,-0.2,-0.1,-0.07,-0.27,-0.51,-0.63
31,1911,-0.65,-0.64,-0.6,-0.51,-0.37,-0.36,-0.14,-0.23,-0.24,-0.16,-0.12,-0.23
32,1912,-0.16,-0.1,-0.41,-0.28,-0.18,-0.24,-0.48,-0.61,-0.34,-0.45,-0.4,-0.32
33,1913,-0.44,-0.49,-0.57,-0.29,-0.62,-0.6,-0.21,-0.19,-0.19,-0.28,-0.13,0.07
34,1914,0.16,-0.03,-0.04,-0.19,-0.02,-0.1,-0.22,-0.07,-0.06,0.14,-0.31,-0.2
35,1915,-0.16,0.07,-0.09,-0.01,-0.21,-0.21,0.03,-0.19,-0.01,-0.09,0.05,-0.1
36,1916,-0.06,-0.1,-0.44,-0.28,-0.34,-0.49,-0.36,-0.1,-0.17,-0.14,-0.36,-0.8
37,1917,-0.52,-0.74,-0.79,-0.53,-0.8,-0.46,0.0,-0.38,-0.31,-0.49,-0.32,-0.94
38,1918,-0.62,-0.58,-0.48,-0.55,-0.77,-0.43,-0.48,-0.46,-0.16,0.03,-0.24,-0.34
39,1919,-0.28,-0.23,-0.1,-0.12,-0.15,-0.16,-0.07,-0.07,-0.18,-0.05,-0.42,-0.28
40,1920,-0.1,-0.27,-0.16,-0.2,-0.31,-0.37,-0.2,-0.14,-0.15,-0.43,-0.33,-0.47
41,1921,-0.01,-0.15,-0.11,-0.18,-0.18,-0.09,0.01,-0.46,-0.13,-0.09,-0.27,-0.18
42,1922,-0.4,-0.46,-0.32,-0.11,-0.37,-0.32,-0.04,-0.24,-0.13,-0.25,-0.11,-0.15
43,1923,-0.25,-0.21,-0.23,-0.47,-0.32,-0.27,-0.49,-0.36,-0.29,-0.08,-0.02,-0.08
44,1924,-0.28,-0.42,-0.13,-0.5,-0.27,-0.16,-0.14,-0.16,-0.05,-0.13,-0.06,-0.28
45,1925,-0.42,-0.35,-0.27,-0.15,-0.33,-0.4,-0.41,-0.08,-0.29,-0.34,-0.01,0.19
46,1926,0.26,0.28,0.21,-0.11,-0.36,-0.21,-0.16,0.03,0.02,-0.11,0.04,-0.24
47,1927,-0.18,-0.18,-0.38,-0.34,-0.29,-0.26,-0.04,-0.25,-0.11,0.14,0.12,-0.24
48,1928,0.06,-0.01,-0.1,-0.07,-0.39,-0.56,-0.06,-0.03,0.02,-0.04,0.09,-0.04
49,1929,-0.28,-0.51,-0.36,-0.43,-0.41,-0.44,-0.37,-0.36,-0.19,0.02,-0.03,-0.59
50,1930,-0.22,-0.2,-0.05,-0.22,-0.16,-0.22,-0.2,-0.17,-0.12,-0.27,0.11,-0.07
51,1931,-0.15,-0.29,-0.05,-0.3,-0.18,-0.09,0.06,0.08,-0.17,0.04,-0.17,0.05
52,1932,0.33,-0.29,-0.22,0.05,-0.2,-0.47,-0.24,-0.2,0.04,0.07,-0.11,-0.16
53,1933,-0.38,-0.29,-0.27,-0.21,-0.14,-0.28,-0.14,-0.19,-0.11,-0.09,-0.37,-0.56
54,1934,-0.16,-0.13,-0.37,-0.36,-0.01,-0.19,-0.01,0.05,-0.09,-0.07,0.03,0.06
55,1935,-0.34,0.21,0.01,-0.51,-0.37,-0.24,-0.3,-0.26,-0.41,-0.08,-0.33,-0.2
56,1936,-0.3,-0.45,-0.18,-0.05,-0.3,-0.19,0.19,-0.02,-0.03,-0.01,0.01,0.08
57,1937,-0.13,0.04,-0.22,-0.21,-0.04,-0.07,-0.15,0.03,0.22,0.19,0.27,-0.1
58,1938,-0.02,-0.02,0.18,0.26,0.07,-0.14,0.0,-0.09,0.09,0.29,0.1,-0.13
59,1939,-0.04,-0.19,-0.38,-0.18,-0.03,-0.11,-0.14,-0.27,-0.15,-0.1,-0.18,0.32
60,1940,-0.22,0.05,0.09,0.0,0.04,0.15,0.19,0.07,0.18,0.04,0.05,0.22
61,1941,0.02,0.2,-0.12,0.0,0.09,0.11,0.24,0.02,-0.21,0.08,-0.07,0.01
62,1942,0.2,-0.02,-0.02,-0.02,0.01,0.06,0.04,0.09,0.06,0,0.12,0.04
63,1943,-0.22,0.02,-0.17,-0.02,-0.11,-0.13,0.08,-0.18,0.04,0.27,0.07,0.19
64,1944,0.31,0.12,0.09,-0.07,-0.07,-0.07,0.03,0.05,0.21,0.2,0,-0.21
65,1945,0.0,-0.15,-0.02,0.11,-0.27,-0.32,-0.23,0.18,0.04,0.03,-0.08,-0.37
66,1946,0.0,-0.06,-0.17,0.03,0.0,-0.18,0.04,-0.04,0,-0.15,-0.08,-0.32
67,1947,-0.14,0.03,0.17,0.11,-0.02,0.01,-0.04,-0.01,0.01,0.22,0.21,-0.19
68,1948,0.19,-0.17,-0.28,-0.12,0.03,0.05,-0.16,-0.18,0.01,-0.03,-0.17,-0.2
69,1949,0.03,-0.36,-0.07,-0.25,-0.13,-0.16,-0.09,-0.11,-0.05,0.02,-0.04,-0.16
70,1950,-0.3,-0.31,-0.05,-0.22,-0.2,-0.09,-0.12,-0.33,-0.18,-0.21,-0.4,-0.17
71,1951,-0.38,-0.47,-0.16,-0.04,0.05,-0.06,-0.06,0.08,0.07,0,-0.03,0.13
72,1952,0.08,0.09,-0.19,-0.08,-0.13,-0.11,0.03,0.08,0.12,-0.03,-0.21,-0.04
73,1953,0.09,0.05,0.14,0.09,-0.04,0.0,-0.05,0.09,0.06,0.03,-0.01,0.13
74,1954,-0.33,-0.1,-0.12,-0.16,-0.2,-0.21,-0.27,-0.18,-0.18,-0.01,0.16,-0.13
75,1955,0.21,-0.11,-0.4,-0.19,-0.19,-0.19,-0.18,0.09,-0.12,0,-0.26,-0.32
76,1956,-0.25,-0.33,-0.34,-0.26,-0.31,-0.11,-0.13,-0.33,-0.15,-0.25,-0.24,-0.2
77,1957,-0.15,-0.06,-0.09,-0.01,-0.01,0.13,-0.13,0.13,0.09,0,0.13,0.2
78,1958,0.41,0.24,0.18,0.08,0.11,-0.18,0.07,-0.1,-0.07,0.09,0.08,-0.07
79,1959,0.03,0.09,0.23,0.18,-0.01,0.07,0.1,0.0,-0.13,-0.1,-0.09,0.09
80,1960,0.07,0.26,-0.46,-0.21,-0.14,-0.02,-0.11,0.07,0.08,0.12,-0.11,0.17
81,1961,0.08,0.22,0.03,0.13,0.17,0.12,0.0,0.07,0.16,0.09,0.08,-0.14
82,1962,0.08,0.16,0.11,0.05,-0.11,0.05,-0.13,-0.08,0.01,0.02,0.1,0.01
83,1963,-0.01,0.24,-0.23,-0.19,-0.13,0.03,0.06,0.18,0.22,0.1,0.05,-0.05
84,1964,-0.07,-0.17,-0.28,-0.36,-0.33,-0.13,-0.08,-0.29,-0.37,-0.35,-0.21,-0.34
85,1965,-0.06,-0.18,-0.12,-0.28,-0.16,-0.15,-0.26,-0.08,-0.27,-0.09,-0.13,-0.19
86,1966,-0.22,-0.03,0.14,-0.09,-0.1,-0.04,0.11,-0.1,-0.03,-0.26,-0.05,-0.08
87,1967,-0.08,-0.26,0.01,-0.09,0.17,-0.13,0.06,0.03,0,0.12,0.01,0
88,1968,-0.21,-0.16,0.32,-0.09,-0.18,-0.11,-0.13,-0.08,-0.27,0.06,-0.06,-0.21
89,1969,-0.16,-0.26,-0.1,0.11,0.16,0.04,-0.02,-0.09,0.01,0.08,0.08,0.34
90,1970,0.04,0.27,0.1,0.12,-0.04,0.12,0.09,-0.07,0.16,0.11,0.04,-0.1
91,1971,-0.01,-0.12,-0.19,-0.03,-0.05,-0.19,-0.08,0.04,0.03,-0.01,-0.1,-0.04
92,1972,-0.28,-0.3,-0.06,-0.04,-0.01,0.09,0.07,0.21,0.06,-0.02,-0.04,0.15
93,1973,0.26,0.33,0.37,0.35,0.35,0.29,0.21,0.07,0.12,0.2,0.1,-0.01
94,1974,-0.05,-0.23,0.0,-0.07,0.03,0.02,-0.02,0.13,-0.14,-0.07,-0.07,-0.03
95,1975,0.07,0.1,0.14,0.05,0.27,0.05,0.08,-0.25,-0.02,-0.03,-0.05,-0.21
96,1976,0.0,-0.06,-0.3,-0.22,-0.23,-0.17,-0.16,-0.23,-0.15,-0.36,-0.16,-0.02
97,1977,0.14,0.23,0.32,0.32,0.3,0.33,0.31,0.29,-0.08,0,0.25,0.15
98,1978,0.14,0.2,0.28,0.27,0.21,0.04,0.2,-0.14,0.15,0.04,0.15,0.12
99,1979,0.18,-0.1,0.26,0.2,0.1,0.21,0.05,0.14,0.3,0.28,0.31,0.53
100,1980,0.36,0.46,0.42,0.45,0.47,0.23,0.38,0.32,0.33,0.24,0.3,0.19
101,1981,0.63,0.58,0.67,0.51,0.34,0.39,0.52,0.55,0.29,0.12,0.23,0.48
102,1982,0.13,0.25,0.0,0.04,0.26,0.05,0.19,0.09,0.1,0.02,0.13,0.42
103,1983,0.49,0.41,0.48,0.41,0.5,0.29,0.21,0.47,0.56,0.34,0.33,0.18
104,1984,0.24,0.16,0.38,0.16,0.47,0.05,0.19,0.28,0.28,0.22,0.11,0.03
105,1985,0.32,0.02,0.27,0.2,0.22,0.27,0.03,0.35,0.26,0.13,0.09,0.14
106,1986,0.39,0.53,0.39,0.44,0.34,0.13,0.15,0.22,0.04,0.13,0.13,0.22
107,1987,0.45,0.55,0.26,0.39,0.31,0.57,0.61,0.28,0.38,0.36,0.31,0.58
108,1988,0.68,0.5,0.63,0.51,0.63,0.61,0.46,0.58,0.56,0.56,0.2,0.39
109,1989,0.26,0.46,0.45,0.43,0.19,0.16,0.49,0.53,0.55,0.44,0.23,0.41
110,1990,0.53,0.42,0.86,0.65,0.56,0.47,0.62,0.43,0.31,0.52,0.55,0.48
111,1991,0.5,0.63,0.49,0.73,0.43,0.71,0.63,0.57,0.64,0.36,0.34,0.34
112,1992,0.51,0.43,0.54,0.24,0.28,0.32,0.09,0.14,-0.02,0.1,0.04,0.26
113,1993,0.41,0.42,0.34,0.31,0.29,0.29,0.4,0.23,0.11,0.25,0.09,0.19
114,1994,0.4,0.09,0.27,0.54,0.29,0.59,0.42,0.27,0.41,0.42,0.52,0.44
115,1995,0.57,0.9,0.52,0.59,0.38,0.5,0.64,0.58,0.47,0.67,0.54,0.4
116,1996,0.42,0.61,0.46,0.51,0.35,0.33,0.59,0.77,0.43,0.34,0.52,0.54
117,1997,0.49,0.56,0.67,0.4,0.43,0.68,0.34,0.46,0.51,0.61,0.73,0.71
118,1998,0.74,1.21,0.85,0.83,0.94,1.04,0.93,0.86,0.59,0.69,0.66,0.79
119,1999,0.68,0.86,0.49,0.4,0.49,0.63,0.63,0.55,0.66,0.63,0.58,0.51
120,2000,0.31,0.78,0.7,0.75,0.57,0.7,0.63,0.62,0.58,0.36,0.49,0.49
121,2001,0.59,0.62,0.68,0.6,0.73,0.66,0.72,0.64,0.71,0.63,0.8,0.74
122,2002,0.98,0.9,1.13,0.8,0.88,0.65,0.84,0.69,0.83,0.64,0.71,0.55
123,2003,0.93,0.75,0.73,0.68,0.86,0.64,0.65,0.85,0.83,0.86,0.66,0.88
124,2004,0.74,0.94,0.84,0.77,0.46,0.66,0.23,0.59,0.58,0.81,0.88,0.69
125,2005,0.97,0.87,0.93,0.83,0.75,0.83,0.79,0.74,0.98,1,0.89,0.9
126,2006,0.77,0.91,0.8,0.7,0.51,0.77,0.65,0.83,0.73,0.83,0.85,0.89
127,2007,1.22,0.94,0.91,0.94,0.95,0.67,0.78,0.84,0.81,0.8,0.73,0.71
128,2008,0.48,0.45,0.9,0.67,0.56,0.51,0.74,0.41,0.82,0.73,0.81,0.73
129,2009,0.76,0.75,0.66,0.73,0.84,0.81,0.87,0.86,0.89,0.72,0.84,0.77
130,2010,0.97,1.05,1.13,1.0,0.97,0.85,0.74,0.83,0.85,0.95,1.01,0.7
131,2011,0.72,0.69,0.76,0.82,0.65,0.73,0.89,0.95,0.77,0.83,0.78,0.8
132,2012,0.61,0.58,0.7,0.8,0.94,0.72,0.57,0.85,0.88,0.92,0.93,0.72
133,2013,0.97,0.74,0.84,0.67,0.66,0.88,0.66,0.78,1,0.85,0.89,0.83
134,2014,0.94,0.65,0.77,0.88,1.04,0.77,0.71,0.84,1.09,1.01,0.8,0.97
135,2015,0.94,1.07,1.1,0.77,0.84,0.85,0.69,0.88,0.8,1.19,1.18,1.39
136,2016,1.35,1.65,1.63,1.36,1.15,0.89,0.97,1.3,1.1,1.21,1.19,1.12
137,2017,1.13,1.42,1.36,1.17,1.24,0.79,1.07,1.11,0.98,1.17,1.04,1.13
138,2018,1.04,1.12,1.22,1.21,1.01,0.89,1.06,0.97,***,***,***,***
